FEATURE_NO,FEATURE_PRICE,FEATURE_TYPE,FEATURE_VALUE,CAR_NO,FEATURE_DESC
1,1480000,제어시스템,현대 스마트센스,1,
2,1100000,편의기능,컴포트 초이스,1,
3,690000,편의기능,빌트인캠,1,
4,1100000,제어시스템,현대 스마트센스,2,
5,1000000,편의기능,컴포트 초이스,2,
6,120000,편의기능,러기지 패키지,2,
7,790000,성능,19인치 초경량 단조휠,3,
8,1090000,편의기능,N 라이트 스포츠 버켓 시트,3,
9,450000,편의기능,선루프,3,
10,590000,편의기능,N 컴포트,3,
11,2270000,성능,19인치 매트 블랙 단조휠,3,
12,2420000,성능,19인치 전면가공 단조휠,3,
13,3510000,성능,모노블록 브레이크 + 19인치 단조휠(매트 블랙) 패키지,3,
14,3660000,성능,모노블록 브레이크 + 19인치 단조휠(전면 가공) 패키지,3,
15,660000,편의기능,알칸타라 인테리어 패키지,3,
16,300000,편의기능,워크인 인테리어 패키지,3,
17,1140000,성능,카본 듀얼 싱글팁 머플러,3,
18,2920000,편의기능,카본 익스테리어 패키지,3,
19,480000,성능,퍼포먼스 인테이크킷,3,
20,1350000,편의기능,인포테인먼트 내비1,4,
21,250000,편의기능,하이패스 + EMC 룸미러,4,
22,640000,편의기능,컴포트 1,4,
23,770000,제어시스템,현대 스마트센스,4,
24,640000,편의기능,익스테리어 디자인 1,4,
25,670000,편의기능,컴포트 2,4,
26,250000,편의기능,LED 라이팅 플러스 패키지,4,
27,1290000,편의기능,프리미엄 초이스,5,
28,840000,제어시스템,현대 스마트센스 1,5,
29,1190000,편의기능,파노라마 선루프,5,
30,990000,편의기능,헤드업 디스플레이,5,
31,1290000,편의기능,플래티넘,5,
32,1430000,제어시스템,파킹 어시스트,5,
33,540000,편의기능,LED 메탈 패키지,5,
34,590000,편의기능,빌트인 공기청정기 2.0,5,
35,450000,편의기능,차량 보호 필름,5,
36,1160000,편의기능,파노라마 선루프 + 루프랙,6,
37,900000,편의기능,인포테인먼트 내비1,6,
38,540000,편의기능,컴포트 1,6,
39,800000,제어시스템,현대 스마트센스,6,
40,690000,편의기능,익스테리어 디자인 1,6,
41,430000,편의기능,라이프 스타일,6,
42,340000,편의기능,사이드 스텝,6,
43,230000,편의기능,프로텍션 매트 패키지,6,
44,450000,편의기능,내비게이션 패키지,7,
45,200000,편의기능,하이패스,7,
46,1100000,제어시스템,현대 스마트센스 1,7,
47,640000,편의기능,스타일 1,7,
48,450000,편의기능,빌트인 캠 2 + 증강현실 내비게이션,8,
49,200000,편의기능,동승성 8way 전동시트,8,
50,990000,편의기능,듀얼와이드 선루프 + 루프랙 ,8,
51,1240000,편의기능,하이테크 플러스,8,
52,450000,편의기능,플래티넘 1 ,8,
53,1350000,편의기능,베스트 셀렉션,8,
54,490000,편의기능,라이프 스타일,8,
55,120000,편의기능,러기지 패키지,8,
56,530000,편의기능,빌트인 공기청정기 2.0,8,
57,380000,편의기능,사이드 스텝,8,
58,230000,편의기능,프로텍션 매트 패키지 1,8,
59,150000,편의기능,프로텍션 매트 패키지 2,8,
60,450000,편의기능,컴포트 2,9,
61,300000,제어시스템,드라이브 와이즈 2,9,
62,250000,편의기능,하이패스 자동결제 시스템,9,
63,600000,편의기능,스타일 1,9,
64,600000,편의기능,컴포트 1,9,
65,1190000,편의기능,컨비니언스,10,
66,940000,편의기능,스타일 1,10,
67,450000,편의기능,빌트인 캠 2,10,
68,890000,편의기능,컴포트 1,10,
69,1090000,제어시스템,드라이브 와이즈,10,
70,590000,편의기능,헤드업 디스플레이,10,
71,1040000,편의기능,모니터링,10,
72,490000,성능,19인치 휠 & 타이어,10,
73,640000,편의기능,와이드 선루프,10,
74,500000,편의기능,컨비니언스,11,
75,1100000,제어시스템,드라이브 와이즈(라이트),11,
76,400000,성능,20인치 휠 & 타이어,11,
77,280000,편의기능,LED 라이팅 패키지,11,
78,590000,편의기능,빌트인 캠 2,12,
79,1090000,편의기능,컨비니언스,12,
80,1190000,편의기능,듀얼 선루프,12,
81,590000,편의기능,헤드업 디스플레이,12,
82,1190000,편의기능,메리디안 프리미엄 사운드,12,
83,590000,성능,20인치 휠,12,
84,940000,편의기능,캠핑 패키지,12,
85,540000,편의기능,사이드 스텝,12,
86,100000,편의기능,리버서블 러기지 매트,12,
87,520000,편의기능,차량 보호 필름 1,12,
88,520000,편의기능,차량 보호 필름 2,12,
89,150000,편의기능,컨비니언스,13,
90,650000,제어시스템,드라이브 와이즈 1,13,
91,500000,제어시스템,드라이브 와이즈 2,13,
92,950000,편의기능,8인치 내비게이션,13,
93,900000,편의기능,스타일 1,13,
94,300000,편의기능,컴포트 ,13,
95,400000,편의기능,버튼시동 PACK,13,
96,190000,편의기능,스마트 패키지,13,
97,1040000,편의기능,12.3인치 클러스터 팩,14,
98,990000,편의기능,컴포트 ,14,
99,740000,제어시스템,드라이브 와이즈,14,
100,1090000,편의기능,HUD + 빌트인 캠 2,14,
101,590000,편의기능,KRELL 프리미엄 사운드,14,
102,890000,편의기능,스마트 커넥트,14,
103,1090000,편의기능,파노라마 선루프,14,
104,890000,편의기능,스타일,14,
105,1190000,편의기능,스타일 1,15,
106,1090000,제어시스템,드라이브 와이즈,15,
107,1090000,편의기능,파노라마 선루프,15,
108,320000,편의기능,차량 보호 필름 1,15,
109,340000,편의기능,차량 보호 필름 2,15,
110,170000,편의기능,LED 도어 스팟 램프,15,
111,740000,편의기능,빌트인 캠,16,
112,1190000,편의기능,컴포트 팩,16,
113,1190000,편의기능,헤드업 디스플레이,16,
114,1780000,편의기능,모니터링 팩,16,
115,790000,성능,19인치 휠 & 타이어,16,
116,790000,편의기능,선루프,16,
117,540000,편의기능,차량 보호 필름,16,
118,690000,편의기능,컨비니언스,17,
119,990000,제어시스템,드라이브 와이즈,17,
120,890000,편의기능,10.25인치 내비게이션,17,
121,270000,편의기능,차량 보호 필름 1,17,
122,300000,편의기능,차량 보호 필름 2,17,
123,330000,편의기능,아웃도어 패키지,17,
124,1190000,편의기능,12.3인치 내비게이션,18,
125,1190000,편의기능,파노라마 선루프(프레스티지),18,
126,690000,편의기능,스타일(프레스티지),18,
127,450000,편의기능,빌트인 캠 2,18,
128,340000,편의기능,사이드 스텝,18,
129,120000,편의기능,러기지 패키지,18,
130,290000,편의기능,차량 보호 필름 1,18,
131,320000,편의기능,차량 보호 필름 2,18,
132,590000,편의기능,12.3인치 클러스터 팩,19,
133,1290000,제어시스템,드라이브 와이즈,19,
134,1190000,편의기능,HUD + 빌트인 캠 2,19,
135,1110000,편의기능,스마트 커넥트,19,
