COLOR_NAME,COLOR_PRICE,COLOR_URL,CAR_NO
어비스 블랙 펄,0,,1
녹턴 그레이 메탈릭,0,,1
트랜스미션 블루 펄,0,,1
바이오필릭 블루 펄,0,,1
얼티메이트 레드 메탈릭,0,,1
세레니티 화이트 펄,80000,,1
그래비티 골드 매트,200000,,1
아틀라스 화이트,0,,2
에코트로닉 그레이 펄,0,,2
어비스 블랙 펄,0,,2
사이버 그레이 메탈릭,0,,2
아틀라스 화이트,0,,3
에코트로닉 그레이 펄,0,,3
얼티메이트 레드 메탈릭,0,,3
어비스 블랙 펄,0,,3
퍼포먼스 블루,0,,3
메타 블루 펄,0,,3
사이버 그레이 메탈릭,0,,3
트랜스미션 블루 펄,0,,4
얼티메이트 레드 메탈릭,0,,4
녹턴 그레이 메탈릭,0,,4
어비스 블랙 펄,0,,4
바이오필릭 블루 펄,0,,4
세레니티 화이트 펄,80000,,4
녹턴 그레이 매트,200000,,4
에어로 실버 매트,200000,,4
어비스 블랙 펄,0,,5
녹턴 그레이 메탈릭,0,,5
트랜스미션 블루 펄,0,,5
바이오필릭 블루 펄,0,,5
유기 브론즈 메탈릭,0,,5
큐레이티드 실버 메탈릭,0,,5
세레니티 화이트 펄,100000,,5
녹턴 그레이 매트,200000,,5
크리미 화이트 펄,0,,6
아마존 그레이 메탈릭,0,,6
얼티메이트 레드 메탈릭,0,,6
쉬머링 실버 메탈릭,0,,6
오션 인디고 펄,0,,6
티탄 그레이 메탈릭,0,,6
팬텀 블랙 펄,0,,6
파인 그린 매트,200000,,6
네오테릭 옐로우,0,,7
사이버 그레이 메탈릭,0,,7
어비스 블랙 펄,0,,7
에코트로닉 그레이 펄,0,,7
미라지 그린,0,,7
얼티메이트 레드 메탈릭,0,,7
아틀라스 화이트,0,,7
페블 블루 펄,0,,8
사이버 세이지 펄,0,,8
어비스 블랙 펄,0,,8
오카도 그린 펄,0,,8
테라코타 오렌지,0,,8
마그네틱 그레이 메탈릭,0,,8
크리미 화이트 펄,80000,,8
얼씨 브레스 메탈릭(매트),200000,,8
클리어 화이트,0,,9
밀키 베이지,0,,9
아스트로 그레이,0,,9
스모크 블루,0,,9
아쿠아 민트,0,,9
오로라 블랙 펄,0,,9
어드벤쳐러스 그린,0,,9
아이보리 매트 실버,300000,,10
스노우 화이트 펄,80000,,10
아이보리 실버,0,,10
셰일 그레이,0,,10
어벤쳐린 그린,0,,10
프로스트 블루,0,,10
오로라 블랙 펄,0,,10
스노우 화이트 펄,80000,,11
문스케이프 매트 그레이,300000,,11
아이보리 매트 실버,300000,,11
글래시어,0,,11
요트 블루,0,,11
런웨리 레드,0,,11
인터스텔라 그레이,0,,11
오로라 블랙 펄,0,,11
스노우 화이트 펄,100000,,12
판테라 메탈,0,,12
오션 블루,0,,12
아이스버그 그린,0,,12
페블 그레이,0,,12
플레어 레드,0,,12
오로라 블랙 펄,0,,12
오션 매트 블루,490000,,12
아이보리 매트 실버,490000,,12
클리어 화이트,0,,13
밀키 베이지,0,,13
어드벤쳐러스 그린,0,,13
아스트로 그레이,0,,13
스파클링 실버,0,,13
시그널 레드,0,,13
오로라 블랙 펄,0,,13
스노우 화이트 펄,80000,,14
울프 그레이,0,,14
그래비티 블루,0,,14
인터스텔라 그레이,0,,14
오로라 블랙 펄,0,,14
스노우 화이트 펄,80000,,15
아이보리 실버,0,,15
문스케이프 매트 그레이,400000,,15
선셋 베이지,0,,15
인터스텔라 그레이,0,,15
오로라 블랙 펄,0,,15
스노우 화이트 펄,80000,,16
페블 그레이,0,,16
판테라 메탈,0,,16
딥 크로마 블루,0,,16
오로라 블랙 펄,0,,16
스노우 화이트 펄,80000,,17
플루톤 블루,0,,17
그래비티 그레이,0,,17
퓨전 블랙,0,,17
다크 오션 블루,0,,17
스노우 화이트 펄,80000,,18
그래비티 그레이,0,,18
헤리티지 블루,0,,18
퓨전 블랙,0,,18
울프 그레이,0,,18
베스타 블루,0,,18
스노우 화이트 펄,80000,,19
시티스케이프 그린,0,,19
볼캐닉 샌드 브라운,0,,19
인터스텔라 그레이,0,,19
오로라 블랙 펄,0,,19
비크 블랙,0,,20
비크 블랙,0,,21
우유니 화이트,0,,22
세빌 실버,0,,22
마칼루 그레이,0,,22
비크 블랙,0,,22
마우이 블랙,0,,22
한라산 그린,0,,22
카프리 블루,0,,22
태즈먼 블루,0,,22
마칼루 그레이(매트),800000,,22
우유니 화이트,0,,23
세빌 실버,0,,23
마칼루 그레이,0,,23
비크 블랙,0,,23
태즈먼 블루,0,,23
한라산 그린,0,,23
브루클린 브라운,0,,23
마칼루 그레이(매트),700000,,23
바트나 그레이,0,,24
카와 블루,0,,24
우유니 화이트,0,,24
세빌 실버,0,,24
비크 블랙,0,,24
태즈먼 블루,0,,24
마칼루 그레이,0,,24
캐번디시 레드,0,,24
카프리 블루,0,,24
한라산 그린,0,,24
본드 실버(매트),690000,,24
마칼루 그레이(매트),690000,,24
벌리 블루(매트),690000,,24
우유니 화이트,0,,25
세빌 실버,0,,25
마칼루 그레이,0,,25
비크 블랙,0,,25
스토르 그린,0,,25
카프리 블루,0,,25
세레스 블루,0,,25
마우나 레드,0,,25
마테호른 화이트(매트),700000,,25
마칼루 그레이(매트),700000,,25
스토르 그린(매트),700000,,25
세레스 블루(매트),700000,,25
우유니 화이트,0,,26
세빌 실버,0,,26
마칼루 그레이,0,,26
비크 블랙,0,,26
스토르 그린,0,,26
카프리 블루,0,,26
마우나 레드,0,,26
세레스 블루,0,,26
마테호른 화이트(매트),700000,,26
마칼루 그레이(매트),700000,,26
스토르 그린(매트),700000,,26
세레스 블루(매트),700000,,26
사우스 씨블루 마그노,0,,27
오팔라이트 화이트 마그노,0,,27
클래식 그레이 솔릴드 논-메탈릭,0,,27
오팔랄이트 화이트 브라이트,0,,27
폴라 화이트,0,,28
나이트 블랙,0,,28
스펙트럴 블루,830000,,28
하이 테크 실버,830000,,28
마운틴 그레이 메탈릭,830000,,28
코스모스 블랙,830000,,28
디지털 화이트 메탈릭,830000,,28
파타고니아 레드 메탈릭,1480000,,28
마운틴 그레이 마그노,3300000,,28
블랙,0,,29
셀레나이트 그레이,0,,29
에메랄드 그린,0,,29
하이 테크 실버,0,,29
그라파이트 그레이,0,,29
벨벳 브라운,0,,29
노틱 블루,0,,29
옵시디안 블랙,0,,29
베르데 실버,0,,29
오팔라이트 화이트 브라이트,0,,29
루벨라이트 레드,2470000,,29
칼라하리 골드,7990000,,29
나이트 블랙,0,,30
폴라 화이트,0,,30
스펙트럴 블루,980000,,30
하이 테크 실버,980000,,30
마운틴 그레이 메탈릭,980000,,30
코스모스 블랙,980000,,30
파타고니아 레드,1390000,,30
마운틴 그레이 마그노,3940000,,30
폴라 화이트,0,,31
셀레나이트 그레이,0,,31
하이 테크 실버,0,,31
옵시디안 블랙,0,,31
오팔라이트 화이트 브라이트,2030000,,31
히아신스 레드,2030000,,31
알파인 그레이 솔리드,6350000,,31
미네랄 화이트 메탈릭,0,,32
브루클린 그레이 메탈릭,0,,32
옥사이드 그레이 메탈릭,0,,32
블랙 사파이어 메탈릭,0,,32
브루클린 그레이 메탈릭,0,,33
카본 블랙 메탈릭,0,,33
소피스토 그레이 브릴리언트 이펙트,0,,33
케이프 요크 그린 메탈릭,0,,33
블랙 사파이어 메탈릭,0,,33
미네랄 화이트 메탈릭,0,,34
소피스토 그레이 브릴리언트 이펙트,0,,34
어벤츄린 레드 메탈릭,0,,34
블랙 사파이어 메탈릭,0,,34
미네랄 화이트 메탈릭,0,,35
브루클린 그레이 메탈릭,0,,35
스카이스크래퍼 그레이 메탈릭,0,,35
맨해탄 메탈릭,0,,35
블랙 사파이어 메탈릭,0,,35
미네랄 화이트 메탈릭,0,,36
스카이스크래퍼 그레이 메탈릭,0,,36
산레모 그린 메탈릭,0,,36
블랙 사파이어 메탈릭,0,,36
Ibis White,0,,37
Suzuka Gray Metallic,0,,37
Tactics Green Metallic,0,,37
Tango Red Metallic,0,,37
Ascari Blue Metallic,0,,37
Kemora Gray Metallic,0,,37
Myth Black Metallic,0,,37
Daytona Gray Pearlescent,0,,37
Arkona White,0,,38
Brilliant Black,0,,38
Chronos Gray Metallic,0,,38
Firmament Blue Metallic,0,,38
Floret Silver Metallic,0,,38
Glacier White Metallic,0,,38
Madeira Brown Metallic,0,,38
Manhatttan Gray Metallic,0,,38
Myth Black Metallic,0,,38
Chronos Gray Metallic,0,,39
Firmament Blue Metallic,0,,39
Floret Silver Metallic,0,,39
Glacier White Metallic,0,,39
Myth Black Metallic,0,,39
Daytona Gray Pearlescent,0,,39
Floret Silver Metallic,0,,40
Glacier White Metallic,0,,40
Myth Black Metallic,0,,40
Vesuvius Gray Metallic,0,,40
Daytona Gray Pearlescent,0,,40
Matador Red Metallic,0,,41
Navarra Blue Metallic,0,,41
Vicuna Beige Metallic,0,,41
Glacier White Metallic,0,,41
Myth Black Metallic,0,,41
Satellite Silver Metallic,0,,41
Tamarind Brown Metallic,0,,41
Daytona Gray Pearlescent,0,,41
피릿 실버 메탈릭,0,,42
킹스 레드 메탈릭,0,,42
킹피셔 블루 메탈릭,0,,42
망간 그레이,0,,42
딥 블랙 펄 이펙트,0,,42
퓨어 화이트,0,,42
문스톤 그레이,0,,42
퓨어 화이트,0,,43
피릿 실버,0,,43
딥 블랙,0,,43
라이징 블루,0,,43
킹스 레드,0,,43
플라티늄 그레이,0,,43
퓨어 화이트,0,,44
나이트 쉐이드 블루,0,,44
우라노 그레이,0,,44
리플렉스 실버,0,,44
딥 블랙,0,,44
돌핀 그레이,0,,44
퓨어 화이트,0,,45
타마린드 브라운 메탈릭,0,,45
